Unnamed: 0,id,answer,score_me,score_other,score_avg,bert_distance,bert_similarity_score,normalized_bert_score,elmo_similarity_score,normalized_elmo_score,gpt2_similarity_score,normalized_gpt2_score
0,1.1,High risk problems are address in the prototype program to make sure that the program is feasible.  A prototype may also be used to show a company that the software can be possibly programmed.,4.0,3.0,3.5,0.027617692949999998,0.9723823071,0.9647592137000001,0.2961798906,0.38229489780000003,0.9999457748,0.9360623848
1,1.1,To simulate portions of the desired final product with a quick and easy program that does a small specific job. It is a way to help see what the problem is and how you may solve it in the final project.,5.0,5.0,5.0,0.028398752210000003,0.9716012478,0.9637625648,0.5041723251,0.5648386846,0.9999495993999999,0.9405720437
2,1.1,A prototype program simulates the behaviors of portions of the desired software product to allow for error checking.,5.0,3.0,4.0,0.01391863823,0.9860813618000001,0.9822395101000001,0.7864713669,0.8125973890000001,0.9999825027,0.9793686625
3,1.1,"Defined in the Specification phase a prototype stimulates the behavior of portions of the desired software product.  Meaning, the role of a prototype is a temporary solution until the program itself is refined to be used extensively in problem solving.",5.0,5.0,5.0,0.01651012897,0.983489871,0.9789327106,0.6177712679,0.6645383744,0.9999879105,0.9857451264
4,1.1,It is used to let the users have a first idea of the completed program and allow the clients to evaluate the program. This can generate much feedback including software specifications and project estimations of the total project.,3.0,3.0,3.0,0.02242964506,0.9775703549,0.9713792773000001,0.45766988399999997,0.52402599,0.9999792639,0.9755498398000001
5,1.1,To find problem and errors in a program before it is finalized,2.0,2.0,2.0,0.05223947763,0.9477605224,0.9333412724,0.0966520533,0.2071800332,0.9999300529999999,0.9175246522
6,1.1,"To address major issues in the creation of the program. There is no way to account for all possible bugs in the program, but it is possible to prove the program is tangible. ",3.0,2.0,2.5,0.027791082860000003,0.9722089170999999,0.9645379642,0.2792869508,0.36746887200000006,0.999963253,0.9566711109
7,1.1,you can break the whole program into prototype programs to simulate parts of the final program,5.0,5.0,5.0,0.03721433878,0.9627856612000001,0.9525136815,0.3503257036,0.42981576920000003,0.9999738373999999,0.9691513523
8,1.1,-To provide an example or model of how the finished program should perfom.  -Provides forsight of some of the challanges that would be encountered.  -Provides opportunity To introduce changes To the finished program.,5.0,2.0,3.5,0.03602951765,0.9639704823,0.9540255394,0.3399498761,0.4207094628,0.9999851668,0.9825099790999999
9,1.1,Simulating the behavior of only a portion of the desired software product.,5.0,5.0,5.0,0.01137292385,0.9886270761,0.9854878978,0.8689111471,0.8849503556,0.9999515009000001,0.9428141139
10,1.1,A program that stimulates the behavior of portions of the desired software product.,5.0,5.0,5.0,0.01170969009,0.9882903099,0.9850581767000001,0.8256347775,0.8469690108,0.9999854255,0.9828150834999999
11,1.1,A program that simulates the behavior of portions of the desired software product.,5.0,5.0,5.0,0.0114569068,0.9885430931999999,0.9853807337999999,0.9114789963,0.9223098702,0.9999854255,0.9828150834999999
12,1.1,To lay out the basics and give you a starting point in the actual problem solving.,2.0,2.0,2.0,0.035905241969999994,0.964094758,0.9541841179,0.1381003112,0.24355694260000002,0.9999645606,0.9582129992
13,1.1,To simulate problem solving for parts of the problem,4.0,5.0,4.5,0.03451615572,0.9654838443000001,0.9559566228,0.41913852100000004,0.4902090825,0.9999783145000001,0.9744303891
14,1.1,A prototype program provides a basic groundwork from which to further enhance and improve a solution to a problem.,2.0,2.0,2.0,0.03263473511000001,0.9673652649,0.958357357,0.27450004219999996,0.3632676594,0.9999775934999999,0.9735802281
